inputaddr,lng,lat,x,y,b,z,hc,lc,rc,bn
"서울특별시 강남구 학동로95길 19",127.05427318420794,37.520797814164425,960613,1946927,,"06073","1168056500","1168010400","116804166826","1168010400100660003018688"
"서울특별시 강남구 도산대로 143",127.02413002898817,37.518372739992316,957948,1946671,,"06036","1168051000","1168010700","116802122001","1168010700105390013011904"
"서울특별시 강남구 압구정로 311",127.03561583704375,37.52934288452701,958969,1947883,,"06006","1168054500","1168011000","116803122007","1168011000104830000004930"
"서울특별시 관악구  남부순환로191길 12 당곡지구대",126.93436569278799,37.48600590626638,949994,1943124,,"08756","1162060500","1162010100","116204160234","1162010100109610016039215"
"\"서울특별시 관악구  봉천로 540, 낙성대지구대\"",126.95759793240765,37.47832710990589,952043,1942260,,"08789","1162058500","1162010100","116203005083","1162010100116200009030220"
"서울특별시 관악구  남부순환로188길 12 신림지구대",126.93331745321831,37.484017896687114,949900,1942904,,"08779","1162064500","1162010200","116204160230","1162010200100100484020980"
"서울특별시 관악구  신림로 178 관악산지구대",126.93526020913349,37.47385987612839,950065,1941776,,"08838","1162066500","1162010200","116203120005","1162010200108080402018212"
"서울특별시 관악구 은천로 93",126.94556286365999,37.48919570802155,950986,1943472,,"08715","1162060500","1162010100","116203120009","1162010100117180000027819"
"서울특별시 관악구  남현1가길 29 남현파출소",126.9778692640518,37.474551593686655,953833,1941831,,"08807","1162063000","1162010300","116204160289","1162010300110860001023085"
"서울특별시 관악구  난곡로64 난우파출소",126.91925420276043,37.46111818958918,948641,1940371,,"08861","1162071500","1162010200","116203120003","1162010200117350006000001"
"서울특별시 관악구  난곡로64가길 31",126.91561383095576,37.47992061648189,948332,1942459,,"08772","1162076500","1162010200","116204160149","1162010200115660034003356"
"서울특별시 관악구  신사로 106",126.91419915485125,37.48727769622802,948212,1943276,,"08702","1162068500","1162010200","116203120006","1162010200105170005014344"
"서울특별시 강서구  화곡로 308",126.85038687195332,37.5517780584641,942620,1950469,,"07658","1150059100","1150010300","115003005069","1150010300109800030014709"
"서울특별시 강서구  방화동로 5 ",126.8082763046116,37.56237297960537,938909,1951671,,"07620","1150064000","1150010900","115003115005","1150010900106200111002903"
"서울특별시 강서구  강서로7길 39",126.84555633693869,37.5293529550804,942176,1947984,,"07777","1150054000","1150010300","115004145080","1150010300109010014024938"
"서울강서구 허준로221-22 염강초등학교 1층(임시청사)",126.86498082038436,37.56099707526159,943916,1951483,,"07531","1150060500","1150010400","115003115013","1150010400114920000009405"
"서울특별시 강서구  곰달래로59길 12",126.86313648120884,37.53291024335198,943732,1948368,,"07741","1150057000","1150010300","115004145164","1150010300107760004020809"
"서울특별시 강서구  금낭화로26길 16",126.81468374443745,37.57980619211132,939489,1953601,,"07512","1150064100","1150010900","115004145242","1150010900108220000000549"
"서울특별시 강서구  공항대로59다길 80",126.86740151412084,37.551897485081675,944123,1950472,,"07561","1150051000","1150010100","115004145208","1150010100102720001029403"
"서울특별시 강서구  등촌로 167 ",126.86186929161542,37.54481018576938,943629,1949689,,"07668","1150053000","1150010200","115003005064","1150010200105130006026472"
"서울특별시 강서구  수명로2길 46 ",126.82604519313914,37.54940629449756,940468,1950221,,"07641","1150061100","1150010600","115004145382","1150010600107480005000001"
"서울특별시 강서구  강서로45다길 71",126.83517780489233,37.54467193445941,941271,1949690,,"07709","1150056000","1150010300","115004145054","1150010300110190000029859"
"서울특별시 강서구 마곡중앙5로 32",,,,,,,,,,
"\"서울특별시 강동구  구천면로 141, 천호지구대\"",127.120772166438,37.54257247792216,966499,1949317,,"05246","1174061000","1174010900","117403016054","1174010900103370121011550"
"서울특별시 강동구 양재대로96길 35",127.13918487286054,37.529452342440514,968120,1947855,,"05372","1174070000","1174010600","117404172273","1174010600104950000000764"
"서울특별시 강동구  성내로 57 성내지구대 ",127.12695412133333,37.52867522890697,967039,1947773,,"05397","1174064000","1174010800","117403124006","1174010800105410001007016"
"서울특별시 강동구  고덕로 137 암사지구대",127.14078267240293,37.55499261751004,968272,1950688,,"05236","1174059000","1174010700","117403124001","1174010700104140019000001"
"서울특별시 강동구  진황도로 239 둔촌파출소",127.1456555406463,37.52533470111182,968690,1947396,,"05413","1174070000","1174010600","117403124008","1174010600101150000000001"
"서울특별시 강동구 동남로 895 명일파출소",127.15608455484208,37.55364108104339,969623,1950533,,"05269","1174054000","1174010100","117403000034","1174010100100470020019103"
"서울특별시 강동구  아리수로91길 20",127.17321031006452,37.564866508906235,971140,1951773,,"05211","1174051500","1174011000","117404172209","1174011000106780002000001"
"서울특별시 강동구  고덕로 61길61",127.15170866521412,37.55731479144534,969238,1950942,,"05231","1174055000","1174010200","117404172031","1174010200104940000018625"
"서울특별시 강동구 고덕로 80길 7",127.16584356918452,37.55621092223829,970486,1950815,,"05274","1174052000","1174010300","117404172034","1174010300101210000020729"
"서울특별시 성북구  화랑로32가길 20 석관파출소",127.05526577166145,37.608962570454956,960747,1956708,,"02790","1129081000","1129013900","112904121772","1129013900104070003000001"
"서울특별시 성북구 장위로174 장위지구대",,,,,,,,,,
"서울특별시 성북구  종암로32길 5 월곡지구대",127.03240784334693,37.60442158327691,958727,1956214,,"02739","1129071500","1129013600","112904121674","1129013600100901152000001"
"서울특별시 성북구  종암로23길 52",127.0312680551394,37.60009962772771,958624,1955735,,"02803","1129070500","1129013500","112904121667","1129013500100800009054553"
"서울특별시 구로구 새말로 26 신구로지구대",126.88389713131279,37.502275317937,945544,1944957,,"08292","1153056000","1153010200","115303116007","1153010200105690003020776"
"서울특별시 구로구  고척로1길 34 오류지구대",126.83884411479404,37.49481192171812,941556,1944156,,"08255","1153077000","1153010800","115304148134","1153010800100810130005204"
"서울특별시 구로구  도림로 63 구일지구대",126.89070065335923,37.48924998757655,946136,1943508,,"08313","1153055000","1153010200","115303116010","1153010200107660238000001"
"서울특별시 구로구 중앙로 15길 30 고척지구대",126.8583025684057,37.50660074121093,943285,1945452,,"08240","1153073000","1153010600","115304148463","1153010600103390003000001"
"서울특별시 구로구  개봉로18길 5 개봉지구대",126.85644929965696,37.49183552766256,943110,1943815,,"08332","1153075000","1153010700","115304148042","1153010700102590001000001"
"서울특별시 구로구  디지털로31길 86 구로3파출소",126.89140038677922,37.48665769135994,946196,1943220,,"08371","1153054000","1153010200","115304148335","1153010200102560001022932"
"서울특별시 구로구 남부순환로 1275 가리봉파출소",126.89265967543032,37.479209957504914,946302,1942393,,"08395","1153059500","1153010300","115302000003","1153010300101360080000001"
"서울특별시 구로구 오리로 1102-8",126.84257147397658,37.48385424711916,941877,1942938,,"08350","1153078000","1153011100","115303000022","1153011100200130001003312"
"서울특별시 서초구 신반포로190",127.00518949685271,37.5059643584631,956267,1945303,,"06545","1165058100","1165010700","116503121017","1165010700100190005000001"
